id,formula,n_atoms,theta,lam,omega
agm116714875,LaTbTmLuAs4,8,117.71,1.15,279.44
agm120525281,PmDyTmThS4,8,155.74,1.4695,309.19
agm109064733,VHgS2,8,112.32,0.8152,373.44
agm004830764,Ce2NdPaS4,8,163.09,1.474,320.06
agm004779594,LaTb(SmS2)2,8,167.01,1.5505,325.27
agm047655311,Nd2PuThS4,8,153.27,1.4785,297.14
agm003162048,CaEuS2,4,215.97,1.582,386.22
agm117581778,PmPrYTm,4,5.95,0.277,211.92
agm019483709,Nd4DyY3,8,6.52,0.286,221.32
agm040817576,Y4Tl2OsRu,8,48.31,0.6522,235.74
agm042912391,La5NdY2,8,7.56,0.301,214.84
agm134206713,Pm2Pr3YTl2,8,25.7,0.4773,208.56
agm005182871,TbYHgAu,4,60.18,0.875,208.04
agm126861279,Nd5YTm2,8,7.67,0.3055,204.31
agm040445045,DyY3Ag2,6,33.95,0.5122,251.8
agm005784663,CeYAu4,6,84.98,1.072,222.51
agm030093316,PrPuRh2,8,98.09,1.0966,249.59
agm042976047,In4IrRh3,8,37.1,0.5046,272.65
agm114811159,TbNdCuRh,8,106.62,1.0221,279.01
agm000999992,Cu3SeI2,6,110.22,0.796,371.62
agm003622686,SrCa2Ir,8,114.07,1.0436,298.91
agm093230573,CaGd(ZnGe)2,6,101.99,0.796,339.65
agm040384553,Ca2PrCu4,7,96.91,0.751,377.04
agm001267492,CaGaAu,3,114.49,1.0816,284.59
agm069494601,SnPd6Pt,8,13.49,0.322,290.71
agm009638011,Pd2(PbAu)3,8,20.39,0.4203,219.34
agm153443744,CdPd5Au2,8,38.66,0.5177,274.93
agm033118294,PmNd(TmSb2)2,8,86.77,1.0217,239.73
agm012602457,Tb2HoPuSb4,8,86.72,1.0352,232.1
agm090091975,ErTm2PuSb4,8,82.53,0.9655,230.47
agm131461189,PmSmHoPuSb4,8,82.7,1.0127,231.34
agm060392786,La2DyBi2Sb,6,82.0,1.051,214.13
agm078647708,CeTm2ThSb4,8,83.34,0.988,230.78
agm050575850,Dy2TmPuTe4,8,87.64,1.0217,228.27
agm039138212,Tb2PrPuTe4,8,93.68,1.1028,230.01
agm077642317,VFeRu,6,63.0,0.5376,399.05
agm030299958,DyEr(PuTe2)2,8,80.07,1.0105,221.18
agm104680705,Pa2HgBi3,6,26.76,0.5274,179.14
agm082591747,La3(SmCo)2,7,76.27,0.7757,268.42
agm005950152,Dy4Zn3Co,8,40.59,0.5227,259.45
agm048028152,Y4Zn3Co,8,50.68,0.5575,320.81
agm136380426,Y4Zn3Co,8,51.41,0.533,316.45
agm004842079,Pu2PaTaN4,8,202.15,1.735,341.36
agm004848244,TbSm2PuN4,8,226.25,1.924,368.94
agm133717287,HoTmPuZrN4,8,230.33,1.8408,392.39
agm001184050,SmPuRu4,6,71.39,0.7864,257.87
agm032365170,PrEr2ThIn4,8,42.68,0.5942,216.99
agm015683363,HfGaNi6,8,37.49,0.4097,399.07
agm002226023,Pr2GaNi2,5,95.67,0.786,318.49
agm040253302,CeZn2Ni3,6,67.36,0.5653,375.37
agm022100676,TbNd2YP4,8,148.91,1.186,341.16
agm046034646,TbNp(PIr)2,6,76.45,0.832,267.22
agm156755890,PmHoTmUP4,8,123.55,1.0983,307.16
agm089899984,NdErTl2,8,24.11,0.484,185.44
agm121492547,Th3Pt2Rh,6,84.39,1.132,215.23
agm145690200,Pm2Nd4GdEr,8,6.48,0.2905,199.46
agm119676663,Nd4C2Cl,7,195.9,1.702,346.58
agm064965029,PuThTlC,4,75.1,0.8912,224.38
agm104977976,SmGdCBr,4,127.94,1.2636,296.34
agm095479665,Pm3Lu,8,7.13,0.3025,199.78
agm003774963,Pm6HoTl,8,14.33,0.3828,198.88
agm050980034,ThZr(ZnGa)2,6,47.42,0.5513,305.16
agm030866291,Ho4ZnCdGa2,8,42.73,0.5557,241.58
agm005874216,La4ZnHg,6,30.9,0.5247,211.99
agm022825445,K2AcCd4,7,60.56,0.7029,247.96
agm131952941,Cs3K2Rb,6,3.83,0.2577,187.28
agm004825376,K2TbUSe4,8,164.12,1.618,286.36
agm001957536,CsPb2Au,4,64.17,0.9178,181.21
agm004806249,NaAc(MgHg2)2,8,65.03,0.7812,228.12
agm103844010,NaNd3Tl4,8,29.67,0.555,197.2
agm069050047,NaLaPb6,8,58.73,0.8418,192.26
agm068886517,PaAlPt6,8,42.25,0.5762,233.21
agm054267536,Mn4Al3V,8,15.62,0.2854,499.32
agm004544840,Ac2Si2Tc2N,7,110.66,1.006,306.58
agm022606039,Ti(Zn2Au)2,7,87.32,0.7374,315.89
agm005791118,CeTiI6,8,124.52,1.384,270.77
agm037443580,Pm4Pr3Nd,8,3.79,0.2522,205.26
agm025144342,La2PmY4,7,9.76,0.3117,232.59
agm022691839,Pm2Pr4Dy,7,5.27,0.2731,204.63
agm133258191,La4Pm3Y,8,6.18,0.2781,208.47
agm050500759,Tb2HoThSb4,8,88.42,1.0307,231.53
agm126076555,YbPr2PaBi4,8,70.07,0.9745,200.59
agm039645477,Pr2NdHg2,5,40.3,0.6398,195.3
agm025144241,La4PmY2,7,8.14,0.3091,216.26
agm156997518,NbV2Mo5,8,42.9,0.4977,337.12
agm035047830,ZrV(GaCo2)2,8,42.01,0.4319,415.0
agm128419410,La3PmY2,6,9.17,0.313,218.74
agm004815350,Tb4HC2F,8,230.78,1.798,382.67
agm022803821,Er2Co2Ge2B,7,87.94,0.7348,353.61
agm009575937,Mg3Sn3Pd2,8,84.71,0.7061,327.03
agm003263073,Mg6CdIn,8,42.54,0.4413,414.96
agm093435272,Ba4MgHg3,8,57.34,0.7987,188.67
agm039917386,CaPr2MgAg4,8,63.43,0.701,268.78
agm003470835,MgAl2Ag5,8,39.46,0.4718,338.61
agm031450965,Hf2MgScP4,8,156.86,1.0352,408.04
agm005016607,LaMgZnGe2,5,86.73,0.7111,339.89
agm078107762,ErCdIn,6,42.42,0.5798,236.51
agm005827404,Ac(CdAu)2,5,67.49,0.8894,212.71
agm022927168,Ba2Nd2Sb2O,7,123.02,1.5285,250.08
agm001146425,Ta2NbMo,4,31.07,0.49,253.37
agm003766932,Nb6GaRh,8,58.27,0.5704,329.73
agm042732842,U2Ga2Pd,5,42.43,0.5488,252.44
agm003476912,Li5Cd2Ag,8,92.27,0.6463,436.4
agm001382719,LiLaSmAl,4,43.48,0.547,282.69
agm054478293,LiPu3Se4,8,139.33,1.4605,267.0
agm003465159,Li2CaAg4,7,108.26,0.8743,358.12
agm004805665,LiHo2TmIn4,8,44.54,0.6076,237.7
agm004841378,Er2TmScP4,8,142.2,1.0757,351.52
agm031182130,LiSc(ZnPd2)2,8,90.15,0.7771,358.74
agm124669902,SmGdSiGe,4,86.03,0.8139,289.45
agm026128865,Y4SiAsSe2,8,150.9,1.2175,351.25
agm116060522,EuSi2AgPd,5,67.12,0.6211,334.3
agm038010045,ErTm(ScRh2)2,8,79.43,0.7797,287.28
agm118323313,DyEr(ScIn2)2,8,43.94,0.5605,259.52
agm005969862,Er4CoRh3,8,69.27,0.7591,251.63
agm082071078,Tb3Hg2Ru,6,67.73,0.8936,213.88
agm068712252,NbB3Rh,10,85.59,0.5068,582.6
agm018355285,CeSm2ErIn4,8,38.82,0.5727,216.21
agm019528183,LiDyS2,8,240.08,1.5604,440.83
agm005973550,Ac3HoIn4,8,46.18,0.6765,193.49
agm081566569,Ho2TmIn,8,28.93,0.499,208.07
agm070133162,PmZrIn6,8,35.38,0.4975,255.44
agm009027777,Tm3(InNi)2,7,52.84,0.6309,257.07
agm002335783,EuHgAu4,6,57.49,0.8296,203.51
agm018332803,Pr2SmErSb4,8,91.95,1.0442,240.87
agm031794804,TbTm2Se3,6,135.66,1.465,277.0
agm041134223,CeDySe2,4,136.07,1.492,282.02
agm026121156,LaPr(ThSe2)2,8,132.07,1.4583,259.52
agm033192086,LaSm(ThSe2)2,8,126.6,1.4492,258.28
agm032989055,Nd2ErPuSe4,8,129.46,1.465,267.21
agm069323794,Pm4HoTm,6,7.12,0.305,197.18
agm019252560,Pm5Er3,8,7.09,0.2995,197.6
agm052075315,Er2MnGe2Ru,6,85.41,0.7841,301.45
agm088405648,Pm4Sm3Er,8,6.58,0.2898,197.01
agm069608880,NdSm5Dy2,8,5.43,0.2792,195.08
agm111143144,PmNd3Hg2,6,37.16,0.5897,194.47
agm077632293,NdGdN2,4,246.68,1.933,391.83
agm004847785,K2NpPaN4,8,203.12,1.5272,373.76
agm077987247,CeSm2DyN4,8,211.76,1.933,392.37
agm108777419,PrHf(PaN2)2,8,213.71,1.7643,359.05
agm004845446,La2HoErP4,8,137.6,1.1703,319.06
agm157747256,Ho4SbTeAsP,8,104.33,1.06,263.53
agm141850214,PmHo2ScP4,8,146.1,1.1073,355.19
agm047457777,SrCe2AsP2,6,149.1,1.261,324.54
agm050953639,CeU2PaP4,8,108.74,1.0105,288.83
agm112397064,HfScUPaP4,8,115.21,0.9745,326.16
agm135297284,TbErPuZrP4,8,121.88,1.1073,325.49
agm005774439,CrTcRh6,8,41.01,0.475,338.16
agm052483574,BaHf(SnRh)2,6,75.82,0.8557,252.05
agm028741637,Tb2PmDyRh4,8,79.66,0.852,246.94
agm003772100,RbBaHg6,8,56.9,0.8389,189.61
agm069812975,LaErPt2,8,91.7,1.1241,222.47
agm047845928,La5Pr2Nd,8,4.73,0.268,204.33
agm082008621,La2PmErBi4,8,76.24,1.0397,203.62
agm026430729,La5Ho2Tm,8,7.64,0.3074,197.9
agm104860677,LaDy(TmBi2)2,8,69.26,0.9835,203.54
agm044670343,La5Tb2Nd,8,4.29,0.259,201.56
agm014159068,LaPm2Ho,4,6.98,0.2987,199.21
agm125650963,La5SmHo2,8,6.86,0.3014,198.89
agm114470080,La2PmPr,8,4.44,0.268,204.78
agm015024075,ErBeIr,6,89.02,0.826,292.73
agm004838424,HfNp(PaAs2)2,8,88.12,0.9385,258.85
agm104904738,TbNd2HoAs4,8,117.83,1.1747,282.0
agm050764985,Y2TmSbAs2,6,114.55,1.066,295.49
agm036259618,LaPu(PaAs2)2,8,100.1,1.0015,253.3
agm077664087,CePr(HoAs2)2,8,118.46,1.1523,282.71
agm001169576,HoCdAg4,6,41.78,0.5452,260.62
agm005578511,Ho3Ag3Pt2,8,71.27,0.88,236.09
agm078981913,Er3In2Ag,6,40.64,0.5727,218.55
agm004809325,BaSr2PrHg4,8,65.89,0.8888,195.8
agm005943136,Sr4InAg3,8,102.33,1.0007,266.59
agm084752926,Sr7Eu,8,8.26,0.3063,215.79
agm015646759,Pr6YEr,8,7.4,0.295,211.71
agm005188500,NdYErIn,4,36.25,0.541,226.8
agm003771598,Pm6YTm,8,7.26,0.2973,204.93
agm048932660,Y4TlHg2Au,8,65.51,0.8271,220.82
agm104089299,LaPr2Y,8,6.92,0.295,218.23
agm039028375,PmSm2Y5,8,7.29,0.2853,233.31
agm017406571,LaPm(YHg2)2,8,44.56,0.6984,202.18
agm032032699,TbY(ErIr2)2,8,60.0,0.7797,218.44
agm003751134,TbYHg4,6,55.07,0.754,209.15
agm158603688,La4Pr2DyY,8,7.82,0.3085,208.76
agm113080665,SmDy2Y,4,4.63,0.2612,207.81
agm040571801,La4Sm2YHo,8,6.83,0.2946,205.06
agm040112821,La6PrY,8,5.65,0.2781,209.42
agm085227318,Nd2Sm4Y,7,5.21,0.271,204.54
